index,name,r,g,b
1002,ctx_lh_caudalanteriorcingulate,125,100,160
1003,ctx_lh_caudalmiddlefrontal,100,25,0
1005,ctx_lh_cuneus,220,20,100
1006,ctx_lh_entorhinal,220,20,10
1007,ctx_lh_fusiform,180,220,140
1008,ctx_lh_inferiorparietal,220,60,220
1009,ctx_lh_inferiortemporal,180,40,120
1010,ctx_lh_isthmuscingulate,140,20,140
1011,ctx_lh_lateraloccipital,20,30,140
1012,ctx_lh_lateralorbitofrontal,35,75,50
1013,ctx_lh_lingual,225,140,140
1014,ctx_lh_medialorbitofrontal,200,35,75
1015,ctx_lh_middletemporal,160,100,50
1016,ctx_lh_parahippocampal,20,220,60
1017,ctx_lh_paracentral,60,220,60
1018,ctx_lh_parsopercularis,220,180,140
1019,ctx_lh_parsorbitalis,20,100,50
1020,ctx_lh_parstriangularis,220,60,20
1021,ctx_lh_pericalcarine,120,100,60
1022,ctx_lh_postcentral,220,20,20
1023,ctx_lh_posteriorcingulate,220,180,220
1024,ctx_lh_precentral,60,20,220
1025,ctx_lh_precuneus,160,140,180
1026,ctx_lh_rostralanteriorcingulate,80,20,140
1027,ctx_lh_rostralmiddlefrontal,75,50,125
1028,ctx_lh_superiorfrontal,20,220,160
1029,ctx_lh_superiorparietal,20,180,140
1030,ctx_lh_superiortemporal,140,220,220
1031,ctx_lh_supramarginal,80,160,20
1034,ctx_lh_transversetemporal,150,150,200
1035,ctx_lh_insula,255,192,32
2002,ctx_rh_caudalanteriorcingulate,125,100,160
2003,ctx_rh_caudalmiddlefrontal,100,25,0
2005,ctx_rh_cuneus,220,20,100
2006,ctx_rh_entorhinal,220,20,10
2007,ctx_rh_fusiform,180,220,140
2008,ctx_rh_inferiorparietal,220,60,220
2009,ctx_rh_inferiortemporal,180,40,120
2010,ctx_rh_isthmuscingulate,140,20,140
2011,ctx_rh_lateraloccipital,20,30,140
2012,ctx_rh_lateralorbitofrontal,35,75,50
2013,ctx_rh_lingual,225,140,140
2014,ctx_rh_medialorbitofrontal,200,35,75
2015,ctx_rh_middletemporal,160,100,50
2016,ctx_rh_parahippocampal,20,220,60
2017,ctx_rh_paracentral,60,220,60
2018,ctx_rh_parsopercularis,220,180,140
2019,ctx_rh_parsorbitalis,20,100,50
2020,ctx_rh_parstriangularis,220,60,20
2021,ctx_rh_pericalcarine,120,100,60
2022,ctx_rh_postcentral,220,20,20
2023,ctx_rh_posteriorcingulate,220,180,220
2024,ctx_rh_precentral,60,20,220
2025,ctx_rh_precuneus,160,140,180
2026,ctx_rh_rostralanteriorcingulate,80,20,140
2027,ctx_rh_rostralmiddlefrontal,75,50,125
2028,ctx_rh_superiorfrontal,20,220,160
2029,ctx_rh_superiorparietal,20,180,140
2030,ctx_rh_superiortemporal,140,220,220
2031,ctx_rh_supramarginal,80,160,20
2034,ctx_rh_transversetemporal,150,150,200
2035,ctx_rh_insula,255,192,32
