index,name,r,g,b
11100,ctx_lh_Unknown,0,0,0
11101,ctx_lh_G_and_S_frontomargin,23,220,60
11102,ctx_lh_G_and_S_occipital_inf,23,60,180
11103,ctx_lh_G_and_S_paracentral,63,100,60
11104,ctx_lh_G_and_S_subcentral,63,20,220
11105,ctx_lh_G_and_S_transv_frontopol,13,0,250
11106,ctx_lh_G_and_S_cingul_Ant,26,60,0
11107,ctx_lh_G_and_S_cingul_Mid_Ant,26,60,75
11108,ctx_lh_G_and_S_cingul_Mid_Post,26,60,150
11109,ctx_lh_G_cingul_Post_dorsal,25,60,250
11110,ctx_lh_G_cingul_Post_ventral,60,25,25
11111,ctx_lh_G_cuneus,180,20,20
11112,ctx_lh_G_front_inf_Opercular,220,20,100
11113,ctx_lh_G_front_inf_Orbital,140,60,60
11114,ctx_lh_G_front_inf_Triangul,180,220,140
11115,ctx_lh_G_front_middle,140,100,180
11116,ctx_lh_G_front_sup,180,20,140
11117,ctx_lh_G_Ins_lg_and_S_cent_ins,23,10,10
11118,ctx_lh_G_insular_short,225,140,140
11119,ctx_lh_G_occipital_middle,180,60,180
11120,ctx_lh_G_occipital_sup,20,220,60
11121,ctx_lh_G_oc_temp_lat_fusifor,60,20,140
11122,ctx_lh_G_oc_temp_med_Lingual,220,180,140
11123,ctx_lh_G_oc_temp_med_Parahip,65,100,20
11124,ctx_lh_G_orbital,220,60,20
11125,ctx_lh_G_pariet_inf_Angular,20,60,220
11126,ctx_lh_G_pariet_inf_Supramar,100,100,60
11127,ctx_lh_G_parietal_sup,220,180,220
11128,ctx_lh_G_postcentral,20,180,140
11129,ctx_lh_G_precentral,60,140,180
11130,ctx_lh_G_precuneus,25,20,140
11131,ctx_lh_G_rectus,20,60,100
11132,ctx_lh_G_subcallosal,60,220,20
11133,ctx_lh_G_temp_sup_G_T_transv,60,60,220
11134,ctx_lh_G_temp_sup_Lateral,220,60,220
11135,ctx_lh_G_temp_sup_Plan_polar,65,220,60
11136,ctx_lh_G_temp_sup_Plan_tempo,25,140,20
11137,ctx_lh_G_temporal_inf,220,220,100
11138,ctx_lh_G_temporal_middle,180,60,60
11139,ctx_lh_Lat_Fis_ant_Horizont,61,20,220
11140,ctx_lh_Lat_Fis_ant_Vertical,61,20,60
11141,ctx_lh_Lat_Fis_post,61,60,100
11142,ctx_lh_Medial_wall,25,25,25
11143,ctx_lh_Pole_occipital,140,20,60
11144,ctx_lh_Pole_temporal,220,180,20
11145,ctx_lh_S_calcarine,63,180,180
11146,ctx_lh_S_central,221,20,10
11147,ctx_lh_S_cingul_Marginalis,221,20,100
11148,ctx_lh_S_circular_insula_ant,221,60,140
11149,ctx_lh_S_circular_insula_inf,221,20,220
11150,ctx_lh_S_circular_insula_sup,61,220,220
11151,ctx_lh_S_collat_transv_ant,100,200,200
11152,ctx_lh_S_collat_transv_post,10,200,200
