name,index,red,green,blue,alpha
L_V1_ROI,16713023,63,5,255,255
L_MST_ROI,8480566,54,103,129,255
L_V6_ROI,11685438,62,78,178,255
L_V2_ROI,15282711,23,50,233,255
L_V3_ROI,14821391,15,40,226,255
L_V4_ROI,14031886,14,28,214,255
L_V8_ROI,13184794,26,47,201,255
L_4_ROI,1356321,33,178,20,255
L_3b_ROI,1428771,35,205,21,255
L_FEF_ROI,9015174,134,143,137,255
L_PEF_ROI,10004109,141,166,152,255
L_55b_ROI,3102782,62,88,47,255
L_V3A_ROI,16136455,7,57,246,255
L_RSC_ROI,8732825,153,64,133,255
L_POS2_ROI,12342970,186,86,188,255
L_V7_ROI,12797458,18,70,195,255
L_IPS1_ROI,10515001,57,114,160,255
L_FFC_ROI,7690553,57,89,117,255
L_V3B_ROI,13512473,25,47,206,255
L_LO1_ROI,12071168,0,49,184,255
L_LO2_ROI,11870482,18,33,181,255
L_PIT_ROI,11217698,34,43,171,255
L_MT_ROI,6837791,31,86,104,255
L_A1_ROI,3085291,235,19,47,255
L_PSL_ROI,3690362,122,79,56,255
L_SFL_ROI,1454367,31,49,22,255
L_PCV_ROI,10059914,138,128,153,255
L_STV_ROI,5003150,142,87,76,255
L_7Pm_ROI,12367253,149,181,188,255
L_7m_ROI,2891562,42,31,44,255
L_POS1_ROI,6436433,81,54,98,255
L_23d_ROI,5978239,127,56,91,255
L_v23ab_ROI,917533,29,0,14,255
L_d23ab_ROI,3084607,63,17,47,255
L_31pv_ROI,2755382,54,11,42,255
L_5m_ROI,3187504,48,163,48,255
L_5mv_ROI,8957081,153,172,136,255
L_23c_ROI,12762829,205,190,194,255
L_5L_ROI,4233792,64,154,64,255
L_24dd_ROI,2924869,69,161,44,255
L_24dv_ROI,4366199,119,159,66,255
L_7AL_ROI,8831603,115,194,134,255
L_SCEF_ROI,5673582,110,146,86,255
L_6ma_ROI,8893328,144,179,135,255
L_7Am_ROI,14742456,184,243,224,255
L_7PL_ROI,15595177,169,246,237,255
L_7PC_ROI,7123268,68,177,108,255
L_LIPv_ROI,10383679,63,113,158,255
L_VIP_ROI,9011506,50,129,137,255
L_MIP_ROI,13422216,136,206,204,255
L_1_ROI,2539284,20,191,38,255
L_2_ROI,4108336,48,176,62,255
L_3a_ROI,1497135,47,216,22,255
L_6d_ROI,2137626,26,158,32,255
L_6mp_ROI,2531136,64,159,38,255
L_6v_ROI,3319879,71,168,50,255
L_p24pr_ROI,7047314,146,136,107,255
