index,name,r,g,b
1000,lh_unknown,25,5,25
1001,lh_bankssts,25,100,40
1002,lh_caudalanteriorcingulate,125,100,160
1003,lh_caudalmiddlefrontal,100,25,0
1004,lh_corpuscallosum,120,70,50
1005,lh_cuneus,220,20,100
660700,lh_entorhinal,220,20,10
1007,lh_fusiform,180,220,140
1008,lh_inferiorparietal,220,60,220
1009,lh_inferiortemporal,180,40,120
1010,lh_isthmuscingulate,140,20,140
1011,lh_lateraloccipital,20,30,140
1012,lh_lateralorbitofrontal,35,75,50
1013,lh_lingual,225,140,140
1014,lh_medialorbitofrontal,200,35,75
1015,lh_middletemporal,160,100,50
1016,lh_parahippocampal,20,220,60
1017,lh_paracentral,60,220,60
1018,lh_parsopercularis,220,180,140
1019,lh_parsorbitalis,20,100,50
1020,lh_parstriangularis,220,60,20
1021,lh_pericalcarine,120,100,60
1022,lh_postcentral,220,20,20
1023,lh_posteriorcingulate,220,180,220
1024,lh_precentral,60,20,220
1025,lh_precuneus,160,140,180
1026,lh_rostralanteriorcingulate,80,20,140
1027,lh_rostralmiddlefrontal,75,50,125
1028,lh_superiorfrontal,20,220,160
1029,lh_superiorparietal,20,180,140
1030,lh_superiortemporal,140,220,220
1031,lh_supramarginal,80,160,20
1032,lh_frontalpole,100,0,100
1033,lh_temporalpole,70,70,70
1034,lh_transversetemporal,150,150,200
1035,lh_insula,255,192,32
2000,rh_unknown,25,5,25
2001,rh_bankssts,25,100,40
2002,rh_caudalanteriorcingulate,125,100,160
2003,rh_caudalmiddlefrontal,100,25,0
2004,rh_corpuscallosum,120,70,50
2005,rh_cuneus,220,20,100
2006,rh_entorhinal,220,20,10
2007,rh_fusiform,180,220,140
2008,rh_inferiorparietal,220,60,220
2009,rh_inferiortemporal,180,40,120
2010,rh_isthmuscingulate,140,20,140
2011,rh_lateraloccipital,20,30,140
2012,rh_lateralorbitofrontal,35,75,50
2013,rh_lingual,225,140,140
2014,rh_medialorbitofrontal,200,35,75
2015,rh_middletemporal,160,100,50
2016,rh_parahippocampal,20,220,60
2017,rh_paracentral,60,220,60
2018,rh_parsopercularis,220,180,140
2019,rh_parsorbitalis,20,100,50
2020,rh_parstriangularis,220,60,20
2021,rh_pericalcarine,120,100,60
2022,rh_postcentral,220,20,20
2023,rh_posteriorcingulate,220,180,220
2024,rh_precentral,60,20,220
2025,rh_precuneus,160,140,180
2026,rh_rostralanteriorcingulate,80,20,140
2027,rh_rostralmiddlefrontal,75,50,125
2028,rh_superiorfrontal,20,220,160
2029,rh_superiorparietal,20,180,140
2030,rh_superiortemporal,140,220,220
2031,rh_supramarginal,80,160,20
2032,rh_frontalpole,100,0,100
2033,rh_temporalpole,70,70,70
2034,rh_transversetemporal,150,150,200
2035,rh_insula,255,192,32
