index,name,r,g,b,a
1,lh_thalamus_proper,0,118,14,0
2,lh_caudate,122,186,220,0
3,lh_putamen,236,13,176,0
4,lh_pallidum,12,48,255,0
5,lh_hippocampus,220,216,20,0
6,lh_amygdala,103,255,255,0
7,lh_accumbens_area,255,165,0,0
8,lh_bankssts,25,100,40,0
9,lh_caudalanteriorcingulate,125,100,160,0
10,lh_caudalmiddlefrontal,100,25,0,0
11,lh_cuneus,220,20,100,0
12,lh_entorhinal,220,20,10,0
13,lh_fusiform,180,220,140,0
14,lh_inferiorparietal,220,60,220,0
15,lh_inferiortemporal,180,40,120,0
16,lh_isthmuscingulate,140,20,140,0
17,lh_lateraloccipital,20,30,140,0
18,lh_lateralorbitofrontal,35,75,50,0
19,lh_lingual,225,140,140,0
20,lh_medialorbitofrontal,200,35,75,0
21,lh_middletemporal,160,100,50,0
22,lh_parahippocampal,20,220,60,0
23,lh_paracentral,60,220,60,0
24,lh_parsopercularis,220,180,140,0
25,lh_parsorbitalis,20,100,50,0
26,lh_parstriangularis,220,60,20,0
27,lh_pericalcarine,120,100,60,0
28,lh_postcentral,220,20,20,0
29,lh_posteriorcingulate,220,180,220,0
30,lh_precentral,60,20,220,0
31,lh_precuneus,160,140,180,0
32,lh_rostralanteriorcingulate,80,20,140,0
33,lh_rostralmiddlefrontal,75,50,125,0
34,lh_superiorfrontal,20,220,160,0
35,lh_superiorparietal,20,180,140,0
36,lh_superiortemporal,140,220,220,0
37,lh_supramarginal,80,160,20,0
38,lh_frontalpole,100,0,100,0
39,lh_temporalpole,70,70,70,0
40,lh_transversetemporal,150,150,200,0
41,lh_insula,255,192,32,0
42,rh_thalamus_proper,0,118,14,0
43,rh_caudate,122,186,220,0
44,rh_putamen,236,13,176,0
45,rh_pallidum,13,48,255,0
46,rh_hippocampus,220,216,20,0
47,rh_amygdala,103,255,255,0
48,rh_accumbens_area,255,165,0,0
49,rh_bankssts,25,100,40,0
50,rh_caudalanteriorcingulate,125,100,160,0
51,rh_caudalmiddlefrontal,100,25,0,0
52,rh_cuneus,220,20,100,0
53,rh_entorhinal,220,20,10,0
54,rh_fusiform,180,220,140,0
55,rh_inferiorparietal,220,60,220,0
56,rh_inferiortemporal,180,40,120,0
57,rh_isthmuscingulate,140,20,140,0
58,rh_lateraloccipital,20,30,140,0
59,rh_lateralorbitofrontal,35,75,50,0
60,rh_lingual,225,140,140,0
61,rh_medialorbitofrontal,200,35,75,0
62,rh_middletemporal,160,100,50,0
63,rh_parahippocampal,20,220,60,0
64,rh_paracentral,60,220,60,0
65,rh_parsopercularis,220,180,140,0
66,rh_parsorbitalis,20,100,50,0
67,rh_parstriangularis,220,60,20,0
68,rh_pericalcarine,120,100,60,0
69,rh_postcentral,220,20,20,0
70,rh_posteriorcingulate,220,180,220,0
71,rh_precentral,60,20,220,0
72,rh_precuneus,160,140,180,0
73,rh_rostralanteriorcingulate,80,20,140,0
74,rh_rostralmiddlefrontal,75,50,125,0
75,rh_superiorfrontal,20,220,160,0
76,rh_superiorparietal,20,180,140,0
77,rh_superiortemporal,140,220,220,0
78,rh_supramarginal,80,160,20,0
79,rh_frontalpole,100,0,100,0
80,rh_temporalpole,70,70,70,0
81,rh_transversetemporal,150,150,200,0
82,rh_insula,255,192,32,0
