index,name
1,Frontal_Pole
2,Insular_Cortex
3,Superior_Frontal_Gyrus
4,Middle_Frontal_Gyrus
5,Inferior_Frontal_Gyrus_pars_triangularis
6,Inferior_Frontal_Gyrus_pars_opercularis
7,Precentral_Gyrus
8,Temporal_Pole
9,Superior_Temporal_Gyrus_anterior
10,Superior_Temporal_Gyrus_posterior
11,Middle_Temporal_Gyrus_anterior
12,Middle_Temporal_Gyrus_posterior
13,Middle_Temporal_Gyrus_temporooccipital_part
14,Inferior_Temporal_Gyrus_anterior
15,Inferior_Temporal_Gyrus_posterior
16,Inferior_Temporal_Gyrus_temporooccipital_part
17,Postcentral_Gyrus
18,Superior_Parietal_Lobule
19,Supramarginal_Gyrus_anterior
20,Supramarginal_Gyrus_posterior
21,Angular_Gyrus
22,Lateral_Occipital_Cortex_superior
23,Lateral_Occipital_Cortex_inferior
24,Intracalcarine_Cortex
25,Frontal_Medial_Cortex
26,Juxtapositional_Lobule
27,Subcallosal_Cortex
28,Paracingulate_Gyrus
29,Cingulate_Gyrus_anterior
30,Cingulate_Gyrus_posterior
31,Precuneous_Cortex
32,Cuneal_Cortex
33,Frontal_Orbital_Cortex
34,Parahippocampal_Gyrus_anterior
35,Parahippocampal_Gyrus_posterior
36,Lingual_Gyrus
37,Temporal_Fusiform_Cortex_anterior
38,Temporal_Fusiform_Cortex_posterior
39,Temporal_Occipital_Fusiform_Cortex
40,Occipital_Fusiform_Gyrus
41,Frontal_Operculum_Cortex
42,Central_Opercular_Cortex
43,Parietal_Operculum_Cortex
44,Planum_Polare
45,Heschls_Gyrus
46,Planum_Temporale
47,Supracalcarine_Cortex
48,Occipital_Pole
