index,name,r,g,b
1,Left_Cerebral_Exterior,70,130,180
2,Left_Cerebral_White_Matter,245,245,245
3,Left_Cerebral_Cortex,205,62,78
4,Left_Lateral_Ventricle,120,18,134
5,Left_Inf_Lat_Vent,196,58,250
6,Left_Cerebellum_Exterior,0,148,0
7,Left_Cerebellum_White_Matter,220,248,164
8,Left_Cerebellum_Cortex,230,148,34
9,Left_Thalamus,0,118,14
10,Left_Thalamus_Proper,0,118,14
11,Left_Caudate,122,186,220
12,Left_Putamen,236,13,176
13,Left_Pallidum,12,48,255
14,3rd_Ventricle,204,182,142
15,4th_Ventricle,42,204,164
16,Brain_Stem,119,159,176
17,Left_Hippocampus,220,216,20
18,Left_Amygdala,103,255,255
19,Left_Insula,80,196,98
20,Left_Operculum,60,58,210
21,Line_1,60,58,210
22,Line_2,60,58,210
23,Line_3,60,58,210
24,CSF,60,60,60
25,Left_Lesion,255,165,0
26,Left_Accumbens_area,255,165,0
27,Left_Substancia_Nigra,0,255,127
28,Left_VentralDC,165,42,42
29,Left_undetermined,135,206,235
30,Left_vessel,160,32,240
31,Left_choroid_plexus,0,200,200
32,Left_F3orb,100,50,100
33,Left_lOg,135,50,74
34,Left_aOg,122,135,50
35,Left_mOg,51,50,135
36,Left_pOg,74,155,60
37,Left_Stellate,120,62,43
38,Left_Porg,74,155,60
39,Left_Aorg,122,135,50
40,Right_Cerebral_Exterior,70,130,180
41,Right_Cerebral_White_Matter,0,225,0
42,Right_Cerebral_Cortex,205,62,78
43,Right_Lateral_Ventricle,120,18,134
44,Right_Inf_Lat_Vent,196,58,250
45,Right_Cerebellum_Exterior,0,148,0
46,Right_Cerebellum_White_Matter,220,248,164
47,Right_Cerebellum_Cortex,230,148,34
48,Right_Thalamus,0,118,14
49,Right_Thalamus_Proper,0,118,14
50,Right_Caudate,122,186,220
51,Right_Putamen,236,13,176
52,Right_Pallidum,13,48,255
53,Right_Hippocampus,220,216,20
54,Right_Amygdala,103,255,255
55,Right_Insula,80,196,98
56,Right_Operculum,60,58,210
57,Right_Lesion,255,165,0
58,Right_Accumbens_area,255,165,0
59,Right_Substancia_Nigra,0,255,127
