index,name,r,g,b,a
2,Left-Cerebral-White-Matter,245,245,245,0
4,Left-Lateral-Ventricle,120,18,134,0
5,Left-Inf-Lat-Vent,196,58,250,0
7,Left-Cerebellum-White-Matter,220,248,164,0
8,Left-Cerebellum-Cortex,230,148,34,0
10,Left-Thalamus-Proper,0,118,14,0
11,Left-Caudate,122,186,220,0
12,Left-Putamen,236,13,176,0
13,Left-Pallidum,12,48,255,0
14,3rd-Ventricle,204,182,142,0
15,4th-Ventricle,42,204,164,0
16,Brain-Stem,119,159,176,0
17,Left-Hippocampus,220,216,20,0
18,Left-Amygdala,103,255,255,0
24,CSF,60,60,60,0
26,Left-Accumbens-area,255,165,0,0
28,Left-VentralDC,165,42,42,0
30,Left-vessel,160,32,240,0
31,Left-choroid-plexus,0,200,200,0
41,Right-Cerebral-White-Matter,0,225,0,0
43,Right-Lateral-Ventricle,120,18,134,0
44,Right-Inf-Lat-Vent,196,58,250,0
46,Right-Cerebellum-White-Matter,220,248,164,0
47,Right-Cerebellum-Cortex,230,148,34,0
49,Right-Thalamus-Proper,0,118,14,0
50,Right-Caudate,122,186,220,0
51,Right-Putamen,236,13,176,0
52,Right-Pallidum,13,48,255,0
53,Right-Hippocampus,220,216,20,0
54,Right-Amygdala,103,255,255,0
58,Right-Accumbens-area,255,165,0,0
60,Right-VentralDC,165,42,42,0
62,Right-vessel,160,32,240,0
63,Right-choroid-plexus,0,200,221,0
72,5th-Ventricle,120,190,150,0
77,WM-hypointensities,200,70,255,0
80,non-WM-hypointensities,164,108,226,0
85,Optic-Chiasm,234,169,30,0
251,CC_Posterior,0,0,64,0
252,CC_Mid_Posterior,0,0,112,0
253,CC_Central,0,0,160,0
254,CC_Mid_Anterior,0,0,208,0
255,CC_Anterior,0,0,255,0
11100,ctx_lh_Unknown,0,0,0,0
11101,ctx_lh_G_and_S_frontomargin,23,220,60,0
11102,ctx_lh_G_and_S_occipital_inf,23,60,180,0
11103,ctx_lh_G_and_S_paracentral,63,100,60,0
11104,ctx_lh_G_and_S_subcentral,63,20,220,0
11105,ctx_lh_G_and_S_transv_frontopol,13,0,250,0
11106,ctx_lh_G_and_S_cingul-Ant,26,60,0,0
11107,ctx_lh_G_and_S_cingul-Mid-Ant,26,60,75,0
11108,ctx_lh_G_and_S_cingul-Mid-Post,26,60,150,0
11109,ctx_lh_G_cingul-Post-dorsal,25,60,250,0
11110,ctx_lh_G_cingul-Post-ventral,60,25,25,0
11111,ctx_lh_G_cuneus,180,20,20,0
11112,ctx_lh_G_front_inf-Opercular,220,20,100,0
11113,ctx_lh_G_front_inf-Orbital,140,60,60,0
11114,ctx_lh_G_front_inf-Triangul,180,220,140,0
11115,ctx_lh_G_front_middle,140,100,180,0
11116,ctx_lh_G_front_sup,180,20,140,0
11117,ctx_lh_G_Ins_lg_and_S_cent_ins,23,10,10,0
11118,ctx_lh_G_insular_short,225,140,140,0
11119,ctx_lh_G_occipital_middle,180,60,180,0
11120,ctx_lh_G_occipital_sup,20,220,60,0
11121,ctx_lh_G_oc-temp_lat-fusifor,60,20,140,0
11122,ctx_lh_G_oc-temp_med-Lingual,220,180,140,0
11123,ctx_lh_G_oc-temp_med-Parahip,65,100,20,0
11124,ctx_lh_G_orbital,220,60,20,0
11125,ctx_lh_G_pariet_inf-Angular,20,60,220,0
11126,ctx_lh_G_pariet_inf-Supramar,100,100,60,0
11127,ctx_lh_G_parietal_sup,220,180,220,0
11128,ctx_lh_G_postcentral,20,180,140,0
11129,ctx_lh_G_precentral,60,140,180,0
11130,ctx_lh_G_precuneus,25,20,140,0
11131,ctx_lh_G_rectus,20,60,100,0
11132,ctx_lh_G_subcallosal,60,220,20,0
11133,ctx_lh_G_temp_sup-G_T_transv,60,60,220,0
11134,ctx_lh_G_temp_sup-Lateral,220,60,220,0
11135,ctx_lh_G_temp_sup-Plan_polar,65,220,60,0
11136,ctx_lh_G_temp_sup-Plan_tempo,25,140,20,0
11137,ctx_lh_G_temporal_inf,220,220,100,0
11138,ctx_lh_G_temporal_middle,180,60,60,0
11139,ctx_lh_Lat_Fis-ant-Horizont,61,20,220,0
11140,ctx_lh_Lat_Fis-ant-Vertical,61,20,60,0
11141,ctx_lh_Lat_Fis-post,61,60,100,0
11143,ctx_lh_Pole_occipital,140,20,60,0
11144,ctx_lh_Pole_temporal,220,180,20,0
11145,ctx_lh_S_calcarine,63,180,180,0
11146,ctx_lh_S_central,221,20,10,0
11147,ctx_lh_S_cingul-Marginalis,221,20,100,0
11148,ctx_lh_S_circular_insula_ant,221,60,140,0
11149,ctx_lh_S_circular_insula_inf,221,20,220,0
11150,ctx_lh_S_circular_insula_sup,61,220,220,0
11151,ctx_lh_S_collat_transv_ant,100,200,200,0
