from,to
10,5
11,5
12,5
13,5
17,5
18,5
26,5
49,10
50,10
51,10
52,10
53,10
54,10
58,10
1001,1
1002,4
1003,4
1005,3
1006,1
1007,1
1008,2
1009,1
1010,2
1011,3
1012,4
1013,3
1014,4
1015,1
1016,1
1017,4
1018,4
1019,4
1020,4
1021,3
1022,2
1023,2
1024,4
1025,2
1026,4
1027,4
1028,4
1029,2
1030,1
1031,2
1032,4
1033,1
1034,1
1035,11
2001,6
2002,9
2003,9
2005,8
2006,6
2007,6
2008,7
2009,6
2010,7
2011,8
2012,9
2013,8
2014,9
2015,6
2016,6
2017,9
2018,9
2019,9
2020,9
2021,8
2022,7
2023,7
2024,9
2025,7
2026,9
2027,9
2028,9
2029,7
2030,6
2031,7
2032,9
2033,6
2034,6
2035,12
3001,1
3002,4
3003,4
3005,3
3006,1
3007,1
3008,2
3009,1
3010,2
3011,3
3012,4
3013,3
3014,4
3015,1
3016,1
3017,4
3018,4
3019,4
3020,4
3021,3
3022,2
3023,2
3024,4
3025,2
3026,4
3027,4
3028,4
3029,2
3030,1
3031,2
3032,4
3033,1
3034,1
3035,11
4001,6
4002,9
4003,9
4005,8
4006,6
4007,6
4008,7
4009,6
4010,7
4011,8
4012,9
4013,8
4014,9
4015,6
4016,6
4017,9
4018,9
4019,9
4020,9
4021,8
4022,7
4023,7
4024,9
4025,7
4026,9
4027,9
4028,9
4029,7
4030,6
4031,7
4032,9
4033,6
4034,6
4035,12
