from,to
10,5
11,5
12,5
13,5
17,5
18,5
26,5
1001,1
1002,4
1003,4
1005,3
1006,1
1007,1
1008,2
1009,1
1010,2
1011,3
1012,4
1013,3
1014,4
1015,1
1016,1
1017,4
1018,4
1019,4
1020,4
1021,3
1022,2
1023,2
1024,4
1025,2
1026,4
1027,4
1028,4
1029,2
1030,1
1031,2
1032,4
1033,1
1034,1
1035,11
49,10
50,10
51,10
52,10
53,10
54,10
58,10
2001,6
2002,9
2003,9
2005,8
2006,6
2007,6
2008,7
2009,6
2010,7
2011,8
2012,9
2013,8
2014,9
2015,6
2016,6
2017,9
2018,9
2019,9
2020,9
2021,8
2022,7
2023,7
2024,9
2025,7
2026,9
2027,9
2028,9
2029,7
2030,6
2031,7
2032,9
2033,6
2034,6
2035,12
