index,name,r,g,b,a
1,Left-Thalamus-Proper,0,118,14,0
2,Left-Caudate,122,186,220,0
3,Left-Putamen,236,13,176,0
4,Left-Pallidum,12,48,255,0
5,Left-Hippocampus,220,216,20,0
6,Left-Amygdala,103,255,255,0
7,Left-Accumbens-area,255,165,0,0
8,lh-bankssts,25,100,40,0
9,lh-caudalanteriorcingulate,125,100,160,0
10,lh-caudalmiddlefrontal,100,25,0,0
11,lh-cuneus,220,20,100,0
12,lh-entorhinal,220,20,10,0
13,lh-fusiform,180,220,140,0
14,lh-inferiorparietal,220,60,220,0
15,lh-inferiortemporal,180,40,120,0
16,lh-isthmuscingulate,140,20,140,0
17,lh-lateraloccipital,20,30,140,0
18,lh-lateralorbitofrontal,35,75,50,0
19,lh-lingual,225,140,140,0
20,lh-medialorbitofrontal,200,35,75,0
21,lh-middletemporal,160,100,50,0
22,lh-parahippocampal,20,220,60,0
23,lh-paracentral,60,220,60,0
24,lh-parsopercularis,220,180,140,0
25,lh-parsorbitalis,20,100,50,0
26,lh-parstriangularis,220,60,20,0
27,lh-pericalcarine,120,100,60,0
28,lh-postcentral,220,20,20,0
29,lh-posteriorcingulate,220,180,220,0
30,lh-precentral,60,20,220,0
31,lh-precuneus,160,140,180,0
32,lh-rostralanteriorcingulate,80,20,140,0
33,lh-rostralmiddlefrontal,75,50,125,0
34,lh-superiorfrontal,20,220,160,0
35,lh-superiorparietal,20,180,140,0
36,lh-superiortemporal,140,220,220,0
37,lh-supramarginal,80,160,20,0
38,lh-frontalpole,100,0,100,0
39,lh-temporalpole,70,70,70,0
40,lh-transversetemporal,150,150,200,0
41,lh-insula,255,192,32,0
42,Right-Thalamus-Proper,0,118,14,0
43,Right-Caudate,122,186,220,0
44,Right-Putamen,236,13,176,0
45,Right-Pallidum,13,48,255,0
46,Right-Hippocampus,220,216,20,0
47,Right-Amygdala,103,255,255,0
48,Right-Accumbens-area,255,165,0,0
49,rh-bankssts,25,100,40,0
50,rh-caudalanteriorcingulate,125,100,160,0
51,rh-caudalmiddlefrontal,100,25,0,0
52,rh-cuneus,220,20,100,0
53,rh-entorhinal,220,20,10,0
54,rh-fusiform,180,220,140,0
55,rh-inferiorparietal,220,60,220,0
56,rh-inferiortemporal,180,40,120,0
57,rh-isthmuscingulate,140,20,140,0
58,rh-lateraloccipital,20,30,140,0
59,rh-lateralorbitofrontal,35,75,50,0
60,rh-lingual,225,140,140,0
61,rh-medialorbitofrontal,200,35,75,0
62,rh-middletemporal,160,100,50,0
63,rh-parahippocampal,20,220,60,0
64,rh-paracentral,60,220,60,0
65,rh-parsopercularis,220,180,140,0
66,rh-parsorbitalis,20,100,50,0
67,rh-parstriangularis,220,60,20,0
68,rh-pericalcarine,120,100,60,0
69,rh-postcentral,220,20,20,0
70,rh-posteriorcingulate,220,180,220,0
71,rh-precentral,60,20,220,0
72,rh-precuneus,160,140,180,0
73,rh-rostralanteriorcingulate,80,20,140,0
74,rh-rostralmiddlefrontal,75,50,125,0
75,rh-superiorfrontal,20,220,160,0
76,rh-superiorparietal,20,180,140,0
77,rh-superiortemporal,140,220,220,0
78,rh-supramarginal,80,160,20,0
79,rh-frontalpole,100,0,100,0
80,rh-temporalpole,70,70,70,0
81,rh-transversetemporal,150,150,200,0
82,rh-insula,255,192,32,0
