index,name,r,g,b
1,lh-bankssts,25,100,40
2,lh-caudalanteriorcingulate,125,100,160
3,lh-caudalmiddlefrontal,100,25,0
4,lh-cuneus,220,20,100
5,lh-entorhinal,220,20,10
6,lh-fusiform,180,220,140
7,lh-inferiorparietal,220,60,220
8,lh-inferiortemporal,180,40,120
9,lh-isthmuscingulate,140,20,140
10,lh-lateraloccipital,20,30,140
11,lh-lateralorbitofrontal,35,75,50
12,lh-lingual,225,140,140
13,lh-medialorbitofrontal,200,35,75
14,lh-middletemporal,160,100,50
15,lh-parahippocampal,20,220,60
16,lh-paracentral,60,220,60
17,lh-parsopercularis,220,180,140
18,lh-parsorbitalis,20,100,50
19,lh-parstriangularis,220,60,20
20,lh-pericalcarine,120,100,60
21,lh-postcentral,220,20,20
22,lh-posteriorcingulate,220,180,220
23,lh-precentral,60,20,220
24,lh-precuneus,160,140,180
25,lh-rostralanteriorcingulate,80,20,140
26,lh-rostralmiddlefrontal,75,50,125
27,lh-superiorfrontal,20,220,160
28,lh-superiorparietal,20,180,140
29,lh-superiortemporal,140,220,220
30,lh-supramarginal,80,160,20
31,lh-frontalpole,100,0,100
32,lh-temporalpole,70,70,70
33,lh-transversetemporal,150,150,200
34,lh-insula,255,192,32
35,rh-bankssts,25,100,40
36,rh-caudalanteriorcingulate,125,100,160
37,rh-caudalmiddlefrontal,100,25,0
38,rh-cuneus,220,20,100
39,rh-entorhinal,220,20,10
40,rh-fusiform,180,220,140
41,rh-inferiorparietal,220,60,220
42,rh-inferiortemporal,180,40,120
43,rh-isthmuscingulate,140,20,140
44,rh-lateraloccipital,20,30,140
45,rh-lateralorbitofrontal,35,75,50
46,rh-lingual,225,140,140
47,rh-medialorbitofrontal,200,35,75
48,rh-middletemporal,160,100,50
49,rh-parahippocampal,20,220,60
50,rh-paracentral,60,220,60
51,rh-parsopercularis,220,180,140
52,rh-parsorbitalis,20,100,50
53,rh-parstriangularis,220,60,20
54,rh-pericalcarine,120,100,60
55,rh-postcentral,220,20,20
56,rh-posteriorcingulate,220,180,220
57,rh-precentral,60,20,220
58,rh-precuneus,160,140,180
59,rh-rostralanteriorcingulate,80,20,140
60,rh-rostralmiddlefrontal,75,50,125
61,rh-superiorfrontal,20,220,160
62,rh-superiorparietal,20,180,140
63,rh-superiortemporal,140,220,220
64,rh-supramarginal,80,160,20
65,rh-frontalpole,100,0,100
66,rh-temporalpole,70,70,70
67,rh-transversetemporal,150,150,200
68,rh-insula,255,192,32
