index,r,g,b,name
8,230,148,34,Left_Cerebellum_Cortex
10,0,118,14,Left_Thalamus_Proper
11,122,186,220,Left_Caudate
12,236,13,176,Left_Putamen
13,12,48,255,Left_Pallidum
17,220,216,20,Left_Hippocampus
18,103,255,255,Left_Amygdala
26,255,165,0,Left_Accumbens_area
28,165,42,42,Left_VentralDC
47,230,148,34,Right_Cerebellum_Cortex
49,0,118,14,Right_Thalamus_Proper
50,122,186,220,Right_Caudate
51,236,13,176,Right_Putamen
52,13,48,255,Right_Pallidum
53,220,216,20,Right_Hippocampus
54,103,255,255,Right_Amygdala
58,255,165,0,Right_Accumbens_area
60,165,42,42,Right_VentralDC
1000,25,5,25,lh_unknown
1001,25,100,40,lh_bankssts
1002,125,100,160,lh_caudalanteriorcingulate
1003,100,25,0,lh_caudalmiddlefrontal
1004,120,70,50,lh_corpuscallosum
1005,220,20,100,lh_cuneus
1006,220,20,10,lh_entorhinal
1007,180,220,140,lh_fusiform
1008,220,60,220,lh_inferiorparietal
1009,180,40,120,lh_inferiortemporal
1010,140,20,140,lh_isthmuscingulate
1011,20,30,140,lh_lateraloccipital
1012,35,75,50,lh_lateralorbitofrontal
1013,225,140,140,lh_lingual
1014,200,35,75,lh_medialorbitofrontal
1015,160,100,50,lh_middletemporal
1016,20,220,60,lh_parahippocampal
1017,60,220,60,lh_paracentral
1018,220,180,140,lh_parsopercularis
1019,20,100,50,lh_parsorbitalis
1020,220,60,20,lh_parstriangularis
1021,120,100,60,lh_pericalcarine
1022,220,20,20,lh_postcentral
1023,220,180,220,lh_posteriorcingulate
1024,60,20,220,lh_precentral
1025,160,140,180,lh_precuneus
1026,80,20,140,lh_rostralanteriorcingulate
1027,75,50,125,lh_rostralmiddlefrontal
1028,20,220,160,lh_superiorfrontal
1029,20,180,140,lh_superiorparietal
1030,140,220,220,lh_superiortemporal
1031,80,160,20,lh_supramarginal
1032,100,0,100,lh_frontalpole
1033,70,70,70,lh_temporalpole
1034,150,150,200,lh_transversetemporal
1035,255,192,32,lh_insula
2000,25,5,25,rh_unknown
2001,25,100,40,rh_bankssts
2002,125,100,160,rh_caudalanteriorcingulate
2003,100,25,0,rh_caudalmiddlefrontal
2004,120,70,50,rh_corpuscallosum
2005,220,20,100,rh_cuneus
2006,220,20,10,rh_entorhinal
2007,180,220,140,rh_fusiform
2008,220,60,220,rh_inferiorparietal
2009,180,40,120,rh_inferiortemporal
2010,140,20,140,rh_isthmuscingulate
2011,20,30,140,rh_lateraloccipital
2012,35,75,50,rh_lateralorbitofrontal
2013,225,140,140,rh_lingual
2014,200,35,75,rh_medialorbitofrontal
2015,160,100,50,rh_middletemporal
2016,20,220,60,rh_parahippocampal
2017,60,220,60,rh_paracentral
2018,220,180,140,rh_parsopercularis
2019,20,100,50,rh_parsorbitalis
2020,220,60,20,rh_parstriangularis
2021,120,100,60,rh_pericalcarine
2022,220,20,20,rh_postcentral
2023,220,180,220,rh_posteriorcingulate
2024,60,20,220,rh_precentral
2025,160,140,180,rh_precuneus
2026,80,20,140,rh_rostralanteriorcingulate
2027,75,50,125,rh_rostralmiddlefrontal
2028,20,220,160,rh_superiorfrontal
2029,20,180,140,rh_superiorparietal
2030,140,220,220,rh_superiortemporal
2031,80,160,20,rh_supramarginal
2032,100,0,100,rh_frontalpole
2033,70,70,70,rh_temporalpole
2034,150,150,200,rh_transversetemporal
2035,255,192,32,rh_insula
