name,index,red,green,blue,alpha
R_V1_ROI,16711742,62,0,255,255
R_MST_ROI,8417330,50,112,128,255
R_V6_ROI,11819587,67,90,180,255
R_V2_ROI,15349787,27,56,234,255
R_V3_ROI,15215635,19,44,232,255
R_V4_ROI,14429969,17,47,220,255
R_V8_ROI,13779991,23,68,210,255
R_4_ROI,1751583,31,186,26,255
R_3b_ROI,1623336,40,197,24,255
R_FEF_ROI,9870217,137,155,150,255
R_PEF_ROI,10991261,157,182,167,255
R_55b_ROI,4877161,105,107,74,255
R_V3A_ROI,16205843,19,72,247,255
R_RSC_ROI,8930709,149,69,136,255
R_POS2_ROI,13463501,205,111,205,255
R_V7_ROI,12607516,28,96,192,255
R_IPS1_ROI,11504959,63,141,175,255
R_FFC_ROI,8023092,52,108,122,255
R_V3B_ROI,14569512,40,80,222,255
R_LO1_ROI,13124365,13,67,200,255
R_LO2_ROI,11944467,19,66,182,255
R_PIT_ROI,12077605,37,74,184,255
R_MT_ROI,7103263,31,99,108,255
R_A1_ROI,3017448,232,10,46,255
R_PSL_ROI,8950973,189,148,136,255
R_SFL_ROI,3095618,66,60,47,255
R_PCV_ROI,10326658,130,146,157,255
R_STV_ROI,6976395,139,115,106,255
R_7Pm_ROI,12965273,153,213,197,255
R_7m_ROI,3485743,47,48,53,255
R_POS1_ROI,7754579,83,83,118,255
R_23d_ROI,6436999,135,56,98,255
R_v23ab_ROI,1641242,26,11,25,255
R_d23ab_ROI,2887740,60,16,44,255
R_31pv_ROI,3281220,68,17,50,255
R_5m_ROI,3256619,43,177,49,255
R_5mv_ROI,8496523,139,165,129,255
R_23c_ROI,12830157,205,197,195,255
R_5L_ROI,4432704,64,163,67,255
R_24dd_ROI,3188549,69,167,48,255
R_24dv_ROI,4366704,112,161,66,255
R_7AL_ROI,8043377,113,187,122,255
R_SCEF_ROI,7313805,141,153,111,255
R_6ma_ROI,9154710,150,176,139,255
R_7Am_ROI,14219689,169,249,216,255
R_7PL_ROI,14941594,154,253,227,255
R_7PC_ROI,6993479,71,182,106,255
R_LIPv_ROI,11239741,61,129,171,255
R_VIP_ROI,9668918,54,137,147,255
R_MIP_ROI,12964478,126,210,197,255
R_1_ROI,2934556,28,199,44,255
R_2_ROI,4569395,51,185,69,255
R_3a_ROI,1958188,44,225,29,255
R_6d_ROI,2729247,31,165,41,255
R_6mp_ROI,3121987,67,163,47,255
R_6v_ROI,4372825,89,185,66,255
R_p24pr_ROI,7902360,152,148,120,255
