index,name
1,Left-Cerebral-White-Matter
2,Left-Lateral-Ventricle
3,Left-Inf-Lat-Vent
4,Left-Cerebellum-White-Matter
5,Left-Cerebellum-Cortex
6,Left-Thalamus-Proper
7,Left-Caudate
8,Left-Putamen
9,Left-Pallidum
10,3rd-Ventricle
11,4th-Ventricle
12,Brain-Stem
13,Left-Hippocampus
14,Left-Amygdala
15,CSF
16,Left-Accumbens-area
17,Left-VentralDC
18,Left-vessel
19,Left-choroid-plexus
20,Right-Cerebral-White-Matter
21,Right-Lateral-Ventricle
22,Right-Inf-Lat-Vent
23,Right-Cerebellum-White-Matter
24,Right-Cerebellum-Cortex
25,Right-Thalamus-Proper
26,Right-Caudate
27,Right-Putamen
28,Right-Pallidum
29,Right-Hippocampus
30,Right-Amygdala
31,Right-Accumbens-area
32,Right-VentralDC
33,Right-vessel
34,Right-choroid-plexus
35,5th-Ventricle
36,WM-hypointensities
37,non-WM-hypointensities
38,Optic-Chiasm
