index,name,r,g,b
12101,ctx_rh_G_and_S_frontomargin,23,220,60
12102,ctx_rh_G_and_S_occipital_inf,23,60,180
12103,ctx_rh_G_and_S_paracentral,63,100,60
12104,ctx_rh_G_and_S_subcentral,63,20,220
12105,ctx_rh_G_and_S_transv_frontopol,13,0,250
12106,ctx_rh_G_and_S_cingul-Ant,26,60,0
12107,ctx_rh_G_and_S_cingul-Mid-Ant,26,60,75
12108,ctx_rh_G_and_S_cingul-Mid-Post,26,60,150
12109,ctx_rh_G_cingul-Post-dorsal,25,60,250
12110,ctx_rh_G_cingul-Post-ventral,60,25,25
12111,ctx_rh_G_cuneus,180,20,20
12112,ctx_rh_G_front_inf-Opercular,220,20,100
12113,ctx_rh_G_front_inf-Orbital,140,60,60
12114,ctx_rh_G_front_inf-Triangul,180,220,140
12115,ctx_rh_G_front_middle,140,100,180
12116,ctx_rh_G_front_sup,180,20,140
12117,ctx_rh_G_Ins_lg_and_S_cent_ins,23,10,10
12118,ctx_rh_G_insular_short,225,140,140
12119,ctx_rh_G_occipital_middle,180,60,180
12120,ctx_rh_G_occipital_sup,20,220,60
12121,ctx_rh_G_oc-temp_lat-fusifor,60,20,140
12122,ctx_rh_G_oc-temp_med-Lingual,220,180,140
12123,ctx_rh_G_oc-temp_med-Parahip,65,100,20
12124,ctx_rh_G_orbital,220,60,20
12125,ctx_rh_G_pariet_inf-Angular,20,60,220
12126,ctx_rh_G_pariet_inf-Supramar,100,100,60
12127,ctx_rh_G_parietal_sup,220,180,220
12128,ctx_rh_G_postcentral,20,180,140
12129,ctx_rh_G_precentral,60,140,180
12130,ctx_rh_G_precuneus,25,20,140
12131,ctx_rh_G_rectus,20,60,100
12132,ctx_rh_G_subcallosal,60,220,20
12133,ctx_rh_G_temp_sup-G_T_transv,60,60,220
12134,ctx_rh_G_temp_sup-Lateral,220,60,220
12135,ctx_rh_G_temp_sup-Plan_polar,65,220,60
12136,ctx_rh_G_temp_sup-Plan_tempo,25,140,20
12137,ctx_rh_G_temporal_inf,220,220,100
