index,name,r,g,b
1000,ctx-lh_unknown,25,5,25
1001,ctx-lh_bankssts,25,100,40
1002,ctx-lh_caudalanteriorcingulate,125,100,160
1003,ctx-lh_caudalmiddlefrontal,100,25,0
1004,ctx-lh_corpuscallosum,120,70,50
1005,ctx-lh_cuneus,220,20,100
1006,ctx-lh_entorhinal,220,20,10
1007,ctx-lh_fusiform,180,220,140
1008,ctx-lh_inferiorparietal,220,60,220
1009,ctx-lh_inferiortemporal,180,40,120
1010,ctx-lh_isthmuscingulate,140,20,140
1011,ctx-lh_lateraloccipital,20,30,140
1012,ctx-lh_lateralorbitofrontal,35,75,50
1013,ctx-lh_lingual,225,140,140
1014,ctx-lh_medialorbitofrontal,200,35,75
1015,ctx-lh_middletemporal,160,100,50
1016,ctx-lh_parahippocampal,20,220,60
1017,ctx-lh_paracentral,60,220,60
1018,ctx-lh_parsopercularis,220,180,140
1019,ctx-lh_parsorbitalis,20,100,50
1020,ctx-lh_parstriangularis,220,60,20
1021,ctx-lh_pericalcarine,120,100,60
1022,ctx-lh_postcentral,220,20,20
1023,ctx-lh_posteriorcingulate,220,180,220
1024,ctx-lh_precentral,60,20,220
1025,ctx-lh_precuneus,160,140,180
1026,ctx-lh_rostralanteriorcingulate,80,20,140
1027,ctx-lh_rostralmiddlefrontal,75,50,125
1028,ctx-lh_superiorfrontal,20,220,160
1029,ctx-lh_superiorparietal,20,180,140
1030,ctx-lh_superiortemporal,140,220,220
1031,ctx-lh_supramarginal,80,160,20
1032,ctx-lh_frontalpole,100,0,100
1033,ctx-lh_temporalpole,70,70,70
1034,ctx-lh_transversetemporal,150,150,200
1035,ctx-lh_insula,255,192,32
