index,name,r,g,b
2000,ctx-rh_unknown,25,5,25
2001,ctx-rh_bankssts,25,100,40
2002,ctx-rh_caudalanteriorcingulate,125,100,160
2003,ctx-rh_caudalmiddlefrontal,100,25,0
2004,ctx-rh_corpuscallosum,120,70,50
2005,ctx-rh_cuneus,220,20,100
2006,ctx-rh_entorhinal,220,20,10
2007,ctx-rh_fusiform,180,220,140
2008,ctx-rh_inferiorparietal,220,60,220
2009,ctx-rh_inferiortemporal,180,40,120
2010,ctx-rh_isthmuscingulate,140,20,140
2011,ctx-rh_lateraloccipital,20,30,140
2012,ctx-rh_lateralorbitofrontal,35,75,50
2013,ctx-rh_lingual,225,140,140
2014,ctx-rh_medialorbitofrontal,200,35,75
2015,ctx-rh_middletemporal,160,100,50
2016,ctx-rh_parahippocampal,20,220,60
2017,ctx-rh_paracentral,60,220,60
2018,ctx-rh_parsopercularis,220,180,140
2019,ctx-rh_parsorbitalis,20,100,50
2020,ctx-rh_parstriangularis,220,60,20
2021,ctx-rh_pericalcarine,120,100,60
2022,ctx-rh_postcentral,220,20,20
2023,ctx-rh_posteriorcingulate,220,180,220
2024,ctx-rh_precentral,60,20,220
2025,ctx-rh_precuneus,160,140,180
2026,ctx-rh_rostralanteriorcingulate,80,20,140
2027,ctx-rh_rostralmiddlefrontal,75,50,125
2028,ctx-rh_superiorfrontal,20,220,160
2029,ctx-rh_superiorparietal,20,180,140
2030,ctx-rh_superiortemporal,140,220,220
2031,ctx-rh_supramarginal,80,160,20
2032,ctx-rh_frontalpole,100,0,100
2033,ctx-rh_temporalpole,70,70,70
2034,ctx-rh_transversetemporal,150,150,200
2035,ctx-rh_insula,255,192,32
