index,name,r,g,b
1,lh_bankssts,25,100,40
2,lh_caudalanteriorcingulate,125,100,160
3,lh_caudalmiddlefrontal,100,25,0
4,lh_cuneus,220,20,100
5,lh_entorhinal,220,20,10
6,lh_fusiform,180,220,140
7,lh_inferiorparietal,220,60,220
8,lh_inferiortemporal,180,40,120
9,lh_isthmuscingulate,140,20,140
10,lh_lateraloccipital,20,30,140
11,lh_lateralorbitofrontal,35,75,50
12,lh_lingual,225,140,140
13,lh_medialorbitofrontal,200,35,75
14,lh_middletemporal,160,100,50
15,lh_parahippocampal,20,220,60
16,lh_paracentral,60,220,60
17,lh_parsopercularis,220,180,140
18,lh_parsorbitalis,20,100,50
19,lh_parstriangularis,220,60,20
20,lh_pericalcarine,120,100,60
21,lh_postcentral,220,20,20
22,lh_posteriorcingulate,220,180,220
23,lh_precentral,60,20,220
24,lh_precuneus,160,140,180
25,lh_rostralanteriorcingulate,80,20,140
26,lh_rostralmiddlefrontal,75,50,125
27,lh_superiorfrontal,20,220,160
28,lh_superiorparietal,20,180,140
29,lh_superiortemporal,140,220,220
30,lh_supramarginal,80,160,20
31,lh_frontalpole,100,0,100
32,lh_temporalpole,70,70,70
33,lh_transversetemporal,150,150,200
34,lh_insula,255,192,32
35,rh_bankssts,25,100,40
36,rh_caudalanteriorcingulate,125,100,160
37,rh_caudalmiddlefrontal,100,25,0
38,rh_cuneus,220,20,100
39,rh_entorhinal,220,20,10
40,rh_fusiform,180,220,140
41,rh_inferiorparietal,220,60,220
42,rh_inferiortemporal,180,40,120
43,rh_isthmuscingulate,140,20,140
44,rh_lateraloccipital,20,30,140
45,rh_lateralorbitofrontal,35,75,50
46,rh_lingual,225,140,140
47,rh_medialorbitofrontal,200,35,75
48,rh_middletemporal,160,100,50
49,rh_parahippocampal,20,220,60
50,rh_paracentral,60,220,60
51,rh_parsopercularis,220,180,140
52,rh_parsorbitalis,20,100,50
53,rh_parstriangularis,220,60,20
54,rh_pericalcarine,120,100,60
55,rh_postcentral,220,20,20
56,rh_posteriorcingulate,220,180,220
57,rh_precentral,60,20,220
58,rh_precuneus,160,140,180
59,rh_rostralanteriorcingulate,80,20,140
60,rh_rostralmiddlefrontal,75,50,125
61,rh_superiorfrontal,20,220,160
62,rh_superiorparietal,20,180,140
63,rh_superiortemporal,140,220,220
64,rh_supramarginal,80,160,20
65,rh_frontalpole,100,0,100
66,rh_temporalpole,70,70,70
67,rh_transversetemporal,150,150,200
68,rh_insula,255,192,32
