index,name,r,g,b,a
1,lh_thalamus_proper,0,118,14,0
2,lh_caudate,122,186,220,0
3,lh_putamen,236,13,176,0
4,lh_pallidum,12,48,255,0
5,lh_hippocampus,220,216,20,0
6,lh_amygdala,103,255,255,0
7,lh_accumbens_area,255,165,0,0
8,rh_thalamus_proper,0,118,14,0
9,rh_caudate,122,186,220,0
10,rh_putamen,236,13,176,0
11,rh_pallidum,13,48,255,0
12,rh_hippocampus,220,216,20,0
13,rh_amygdala,103,255,255,0
14,rh_accumbens_area,255,165,0,0
15,ctx_lh_g_and_s_frontomargin,23,220,60,0
16,ctx_lh_g_and_s_occipital_inf,23,60,180,0
17,ctx_lh_g_and_s_paracentral,63,100,60,0
18,ctx_lh_g_and_s_subcentral,63,20,220,0
19,ctx_lh_g_and_s_transv_frontopol,13,0,250,0
20,ctx_lh_g_and_s_cingul_ant,26,60,0,0
21,ctx_lh_g_and_s_cingul_mid_ant,26,60,75,0
22,ctx_lh_g_and_s_cingul_mid_post,26,60,150,0
23,ctx_lh_g_cingul_post_dorsal,25,60,250,0
24,ctx_lh_g_cingul_post_ventral,60,25,25,0
25,ctx_lh_g_cuneus,180,20,20,0
26,ctx_lh_g_front_inf_opercular,220,20,100,0
27,ctx_lh_g_front_inf_orbital,140,60,60,0
28,ctx_lh_g_front_inf_triangul,180,220,140,0
29,ctx_lh_g_front_middle,140,100,180,0
30,ctx_lh_g_front_sup,180,20,140,0
31,ctx_lh_g_ins_lg_and_s_cent_ins,23,10,10,0
32,ctx_lh_g_insular_short,225,140,140,0
33,ctx_lh_g_occipital_middle,180,60,180,0
34,ctx_lh_g_occipital_sup,20,220,60,0
35,ctx_lh_g_oc_temp_lat_fusifor,60,20,140,0
36,ctx_lh_g_oc_temp_med_lingual,220,180,140,0
37,ctx_lh_g_oc_temp_med_parahip,65,100,20,0
38,ctx_lh_g_orbital,220,60,20,0
39,ctx_lh_g_pariet_inf_angular,20,60,220,0
40,ctx_lh_g_pariet_inf_supramar,100,100,60,0
41,ctx_lh_g_parietal_sup,220,180,220,0
42,ctx_lh_g_postcentral,20,180,140,0
43,ctx_lh_g_precentral,60,140,180,0
44,ctx_lh_g_precuneus,25,20,140,0
45,ctx_lh_g_rectus,20,60,100,0
46,ctx_lh_g_subcallosal,60,220,20,0
47,ctx_lh_g_temp_sup_g_t_transv,60,60,220,0
48,ctx_lh_g_temp_sup_lateral,220,60,220,0
49,ctx_lh_g_temp_sup_plan_polar,65,220,60,0
50,ctx_lh_g_temp_sup_plan_tempo,25,140,20,0
51,ctx_lh_g_temporal_inf,220,220,100,0
52,ctx_lh_g_temporal_middle,180,60,60,0
53,ctx_lh_lat_fis_ant_horizont,61,20,220,0
54,ctx_lh_lat_fis_ant_vertical,61,20,60,0
55,ctx_lh_lat_fis_post,61,60,100,0
56,ctx_lh_pole_occipital,140,20,60,0
57,ctx_lh_pole_temporal,220,180,20,0
58,ctx_lh_s_calcarine,63,180,180,0
59,ctx_lh_s_central,221,20,10,0
60,ctx_lh_s_cingul_marginalis,221,20,100,0
61,ctx_lh_s_circular_insula_ant,221,60,140,0
62,ctx_lh_s_circular_insula_inf,221,20,220,0
63,ctx_lh_s_circular_insula_sup,61,220,220,0
64,ctx_lh_s_collat_transv_ant,100,200,200,0
65,ctx_lh_s_collat_transv_post,10,200,200,0
66,ctx_lh_s_front_inf,221,220,20,0
67,ctx_lh_s_front_middle,141,20,100,0
68,ctx_lh_s_front_sup,61,220,100,0
69,ctx_lh_s_interm_prim_jensen,141,60,20,0
70,ctx_lh_s_intrapariet_and_p_trans,143,20,220,0
71,ctx_lh_s_oc_middle_and_lunatus,101,60,220,0
72,ctx_lh_s_oc_sup_and_transversal,21,20,140,0
73,ctx_lh_s_occipital_ant,61,20,180,0
74,ctx_lh_s_oc_temp_lat,221,140,20,0
75,ctx_lh_s_oc_temp_med_and_lingual,141,100,220,0
76,ctx_lh_s_orbital_lateral,221,100,20,0
77,ctx_lh_s_orbital_med_olfact,181,200,20,0
78,ctx_lh_s_orbital_h_shaped,101,20,20,0
79,ctx_lh_s_parieto_occipital,101,100,180,0
80,ctx_lh_s_pericallosal,181,220,20,0
81,ctx_lh_s_postcentral,21,140,200,0
82,ctx_lh_s_precentral_inf_part,21,20,240,0
83,ctx_lh_s_precentral_sup_part,21,20,200,0
84,ctx_lh_s_suborbital,21,20,60,0
85,ctx_lh_s_subparietal,101,60,60,0
86,ctx_lh_s_temporal_inf,21,180,180,0
87,ctx_lh_s_temporal_sup,223,220,60,0
88,ctx_lh_s_temporal_transverse,221,60,60,0
89,ctx_rh_g_and_s_frontomargin,23,220,60,0
90,ctx_rh_g_and_s_occipital_inf,23,60,180,0
91,ctx_rh_g_and_s_paracentral,63,100,60,0
92,ctx_rh_g_and_s_subcentral,63,20,220,0
93,ctx_rh_g_and_s_transv_frontopol,13,0,250,0
94,ctx_rh_g_and_s_cingul_ant,26,60,0,0
95,ctx_rh_g_and_s_cingul_mid_ant,26,60,75,0
96,ctx_rh_g_and_s_cingul_mid_post,26,60,150,0
97,ctx_rh_g_cingul_post_dorsal,25,60,250,0
98,ctx_rh_g_cingul_post_ventral,60,25,25,0
99,ctx_rh_g_cuneus,180,20,20,0
100,ctx_rh_g_front_inf_opercular,220,20,100,0
101,ctx_rh_g_front_inf_orbital,140,60,60,0
102,ctx_rh_g_front_inf_triangul,180,220,140,0
103,ctx_rh_g_front_middle,140,100,180,0
104,ctx_rh_g_front_sup,180,20,140,0
105,ctx_rh_g_ins_lg_and_s_cent_ins,23,10,10,0
106,ctx_rh_g_insular_short,225,140,140,0
107,ctx_rh_g_occipital_middle,180,60,180,0
108,ctx_rh_g_occipital_sup,20,220,60,0
109,ctx_rh_g_oc_temp_lat_fusifor,60,20,140,0
110,ctx_rh_g_oc_temp_med_lingual,220,180,140,0
111,ctx_rh_g_oc_temp_med_parahip,65,100,20,0
112,ctx_rh_g_orbital,220,60,20,0
113,ctx_rh_g_pariet_inf_angular,20,60,220,0
114,ctx_rh_g_pariet_inf_supramar,100,100,60,0
115,ctx_rh_g_parietal_sup,220,180,220,0
116,ctx_rh_g_postcentral,20,180,140,0
117,ctx_rh_g_precentral,60,140,180,0
118,ctx_rh_g_precuneus,25,20,140,0
119,ctx_rh_g_rectus,20,60,100,0
120,ctx_rh_g_subcallosal,60,220,20,0
121,ctx_rh_g_temp_sup_g_t_transv,60,60,220,0
122,ctx_rh_g_temp_sup_lateral,220,60,220,0
123,ctx_rh_g_temp_sup_plan_polar,65,220,60,0
124,ctx_rh_g_temp_sup_plan_tempo,25,140,20,0
125,ctx_rh_g_temporal_inf,220,220,100,0
126,ctx_rh_g_temporal_middle,180,60,60,0
127,ctx_rh_lat_fis_ant_horizont,61,20,220,0
128,ctx_rh_lat_fis_ant_vertical,61,20,60,0
129,ctx_rh_lat_fis_post,61,60,100,0
130,ctx_rh_pole_occipital,140,20,60,0
131,ctx_rh_pole_temporal,220,180,20,0
132,ctx_rh_s_calcarine,63,180,180,0
133,ctx_rh_s_central,221,20,10,0
134,ctx_rh_s_cingul_marginalis,221,20,100,0
135,ctx_rh_s_circular_insula_ant,221,60,140,0
136,ctx_rh_s_circular_insula_inf,221,20,220,0
137,ctx_rh_s_circular_insula_sup,61,220,220,0
