index,name
1,lh_cerebral_white_matter
2,lh_lateral_ventricle
3,lh_inf_lat_vent
4,lh_cerebellum_white_matter
5,lh_cerebellum_cortex
6,lh_thalamus_proper
7,lh_caudate
8,lh_putamen
9,lh_pallidum
10,3rd_ventricle
11,4th_ventricle
12,brain_stem
13,lh_hippocampus
14,lh_amygdala
15,csf
16,lh_accumbens_area
17,lh_ventraldc
18,lh_vessel
19,lh_choroid_plexus
20,rh_cerebral_white_matter
21,rh_lateral_ventricle
22,rh_inf_lat_vent
23,rh_cerebellum_white_matter
24,rh_cerebellum_cortex
25,rh_thalamus_proper
26,rh_caudate
27,rh_putamen
28,rh_pallidum
29,rh_hippocampus
30,rh_amygdala
31,rh_accumbens_area
32,rh_ventraldc
33,rh_vessel
34,rh_choroid_plexus
35,5th_ventricle
36,wm_hypointensities
37,non_wm_hypointensities
38,optic_chiasm
